,param,coeff,variation_neuron,baseline_neuron,unstability_neuron,robustness_neuron,variation_ratio,baseline_ratio,unstability_ratio,robustness_ratio
0,tc_coeff_RG_0,1.1,-433.0,2615.8,-0.1655325330682774,6.041145040247566,-0.004753257539775513,0.749350772176362,-0.006343167600896018,157.6747987326479
1,tc_coeff_RG_1,1.1,-116.10000000000036,2615.8,-0.044384127226852345,22.531084727057888,0.0007933630919557677,0.749350772176362,0.0010587339353125365,943.6330824916731
2,tc_coeff_RG_2,1.1,28.59999999999991,2615.8,0.010933557611438148,91.45317401354629,-0.016540577565315906,0.749350772176362,-0.022073210810574877,45.30583766991281
3,tc_coeff_RG_3,1.1,-174.5,2615.8,-0.06670999311873996,14.99048259085594,-0.019887638874057423,0.749350772176362,-0.026539825689772967,37.680642379943784
4,tc_coeff_IP_0,1.1,-96.30000000000018,2615.8,-0.0368147411881643,27.16377004142959,-0.008793306093595854,0.749350772176362,-0.011734566000455554,85.22558273939697
5,tc_coeff_IP_1,1.1,168.79999999999973,2615.8,0.06453092744093575,15.49620536152855,0.0020833635188941546,0.749350772176362,0.002780224690825872,359.55383371167125
6,tc_coeff_IP_2,1.1,-199.20000000000027,2615.8,-0.07615261105589122,13.131698543659876,0.0032716291923119423,0.749350772176362,0.004365951586077707,228.99269210771726
7,tc_coeff_IP_3,1.1,-140.60000000000036,2615.8,-0.05375028671916827,18.604898056133205,0.010729140659767933,0.749350772176362,0.014317914998081561,69.83769371729488
8,diff_coeff_RG_0,1.1,1539.5999999999995,2615.8,0.588577108341616,1.6990098439400179,0.004418066103161977,0.749350772176362,0.005895858478040203,169.58182118902502
9,diff_coeff_RG_1,1.1,881.0999999999999,2615.8,0.33683767872161474,2.9687802000507926,-0.023554581205648906,0.749350772176362,-0.031433318120482646,31.814389131813893
10,diff_coeff_RG_2,1.1,427.89999999999964,2615.8,0.16358284272497883,6.113073169953737,-0.02360750676794421,0.749350772176362,-0.031503946675573866,31.74306233312963
11,diff_coeff_RG_3,1.1,-57.70000000000027,2615.8,-0.02205826133496455,45.33654404388038,-0.05695212666068461,0.749350772176362,-0.07600195899615454,13.157728707746932
12,diff_coeff_IP_0,1.1,-662.9000000000001,2615.8,-0.25342151540637664,3.9460104419582347,-0.0005197160793732891,0.749350772176362,-0.0006935551395561548,1443.9283500818153
13,diff_coeff_IP_1,1.1,68.69999999999982,2615.8,0.026263475800902138,38.074241708858004,-0.007582001905450331,0.749350772176362,-0.010118094471871557,98.8426077052348
14,diff_coeff_IP_2,1.1,-150.20000000000027,2615.8,-0.05742029207125937,17.41574937494814,0.011736354755865541,0.749350772176362,0.01566203064257783,63.84460471408612
15,diff_coeff_IP_3,1.1,-385.3000000000002,2615.8,-0.1472971939750746,6.78904167862762,0.004166916454032665,0.749350772176362,0.0055607021554546,179.8010702567481
